Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sdo.json	11116	-	0	0	0	0	0	0	6	80	0	0	0	0	0	0	0	1	0	0	91	236	0	0	0	4	0	1
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation-elements.json	2535	11	1	0	0	0	9	0	0	15	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation.json	2724	3	0	0	0	0	4	0	0	439	0	0	0	0	0	0	0	0	0	0	17	15	0	0	0	0	0	0
fsh-generated/resources/Bundle-exemple-sdo-bundle-resultat-recherche-notifications-esms.json	12319	6	0	0	0	0	10	0	1	47	0	0	0	0	0	0	0	0	0	0	36	32	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ESMSConsommateur.json	2507	3	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	25	61	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ESMSProducteur.json	1912	2	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	0	0	0	19	37	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-gestionnaire-sdo.json	2756	2	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	1	0	0	20	103	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-input-task-sdo-codesystem.json	4297	2	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	17	2228	0	0	0	1	0	0
fsh-generated/resources/Consent-exemple-consent.json	1058	2	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	8	19	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-esms-document-reference.json	756	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	9	10	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-sdo-document-reference.json	545	3	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-esms-bundle-resultat-recherche-decision-evaluation.json	1320	3	0	0	0	0	0	135	0	51	0	0	1	0	0	0	0	1	0	0	164	1243	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-esms-consent.json	3343	3	0	0	0	0	0	83	0	50	0	0	0	0	0	0	0	1	0	0	278	1108	0	0	0	9	0	2
fsh-generated/resources/StructureDefinition-esms-document-reference.json	2500	3	0	0	0	0	0	102	0	48	0	0	0	0	0	0	0	1	0	0	236	903	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-sdo-bundle-resultat-recherche-notification-esms.json	1127	3	0	0	0	0	0	152	0	29	0	0	0	0	0	0	0	0	0	0	127	556	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-sdo-document-reference.json	3204	2	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	2	0	0	227	618	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-sdo-task.json	18856	5	0	0	0	0	0	73	0	195	0	0	2	0	0	0	0	3	0	0	622	1190	0	0	0	31	0	1
fsh-generated/resources/Task-exemple-sdo-task.json	6501	3	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	22	10	0	0	0	0	0	0
fsh-generated/resources/ValueSet-type-document-reference-esms-valueset.json	781	2	0	0	0	0	0	0	1	261	0	0	0	0	0	0	0	0	0	0	9	1453	0	0	0	0	0	0
