Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sdo.json	11116	-	0	0	0	0	0	0	6	382	0	0	0	0	0	0	0	1	0	0	160	118	0	0	0	3	0	1
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation-elements.json	2535	24	1	0	0	1	12	0	1	17	0	0	0	0	0	0	0	0	0	0	57	31	0	0	0	0	0	0
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation.json	2724	21	0	0	0	0	6	0	0	445	0	0	0	0	0	0	0	0	0	0	57	38	0	0	0	0	0	0
fsh-generated/resources/Bundle-exemple-sdo-bundle-resultat-recherche-notifications-esms.json	12319	25	0	0	0	0	12	0	1	54	0	0	0	0	0	0	0	0	0	0	94	55	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ESMSConsommateur.json	2507	4	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	64	68	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ESMSProducteur.json	1912	3	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	48	34	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-gestionnaire-sdo.json	2756	2	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	52	40	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-input-task-sdo-codesystem.json	4297	3	0	0	0	0	0	0	1	17	0	0	0	0	0	0	0	1	0	0	49	2463	0	0	0	1	0	0
fsh-generated/resources/Consent-exemple-consent.json	1058	3	1	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	34	35	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-esms-document-reference.json	756	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	27	30	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-sdo-document-reference.json	545	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	27	25	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-esms-bundle-resultat-recherche-decision-evaluation.json	1320	3	0	0	0	0	0	103	0	44	0	0	0	0	0	0	0	1	0	0	265	1201	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-esms-consent.json	3343	4	0	0	0	0	0	84	0	38	0	0	1	0	0	0	0	1	0	0	479	1230	0	0	1	12	0	1
fsh-generated/resources/StructureDefinition-esms-document-reference.json	2500	2	0	0	0	0	0	102	0	31	0	0	0	0	0	0	0	1	0	0	432	884	0	0	0	10	0	2
fsh-generated/resources/StructureDefinition-sdo-bundle-resultat-recherche-notification-esms.json	1127	3	0	0	0	0	0	134	0	22	0	0	0	0	0	0	0	0	0	0	277	502	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-sdo-document-reference.json	3204	3	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	1	0	0	451	521	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-sdo-task.json	18968	8	0	0	0	0	0	72	1	184	0	0	0	0	0	0	0	2	0	0	1264	1376	0	0	0	41	0	2
fsh-generated/resources/Task-exemple-sdo-task.json	6501	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	48	27	0	0	0	0	0	0
fsh-generated/resources/ValueSet-type-document-reference-esms-valueset.json	781	2	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	29	1580	0	0	0	0	0	0
