Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sdo.json	11116	-	0	0	1	0	0	0	6	212	0	0	0	0	0	0	0	0	0	0	151	69	0	0	0	7	0	1
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation-elements.json	2535	20	0	0	0	0	19	0	0	15	0	0	0	0	0	0	0	0	0	0	40	21	0	0	1	0	0	0
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation.json	2724	16	1	0	0	0	13	0	1	154	0	0	0	0	0	0	0	1	0	0	21	17	0	0	0	0	0	0
fsh-generated/resources/Bundle-exemple-sdo-bundle-resultat-recherche-notifications-esms.json	11061	20	0	0	0	0	16	0	1	67	0	0	0	0	0	0	0	0	0	0	57	28	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ESMSConsommateur.json	2507	19	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	48	50	0	1	0	1	0	0
fsh-generated/resources/CapabilityStatement-ESMSProducteur.json	1912	15	1	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	43	21	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-gestionnaire-sdo.json	2756	14	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	40	49	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-input-task-sdo-codesystem.json	4297	14	0	0	0	0	0	0	1	38	0	0	0	0	0	0	0	0	0	0	57	2726	0	0	0	1	0	0
fsh-generated/resources/Consent-exemple-consent.json	1058	14	0	0	0	0	0	0	0	203	0	0	0	0	0	0	0	0	0	0	18	19	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-esms-document-reference.json	756	15	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	16	24	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-sdo-document-reference.json	545	13	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	17	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-esms-bundle-resultat-recherche-decision-evaluation.json	1320	15	1	0	0	0	0	126	0	71	0	0	1	0	0	0	0	2	0	0	162	1193	0	0	0	6	0	1
fsh-generated/resources/StructureDefinition-esms-consent.json	3458	15	0	0	0	0	0	98	0	52	0	0	0	0	0	0	0	1	0	0	299	1015	0	0	0	11	0	0
fsh-generated/resources/StructureDefinition-esms-document-reference.json	2500	15	0	0	0	0	0	129	0	44	0	0	0	0	0	0	0	0	0	0	192	705	0	0	0	11	0	3
fsh-generated/resources/StructureDefinition-sdo-bundle-resultat-recherche-notification-esms.json	1127	18	0	0	0	0	0	169	0	29	0	0	0	0	0	0	0	1	0	0	109	453	0	0	0	7	0	1
fsh-generated/resources/StructureDefinition-sdo-document-reference.json	3204	14	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	1	0	0	186	580	0	0	0	12	1	1
fsh-generated/resources/StructureDefinition-sdo-task.json	17930	18	1	0	0	0	0	78	0	162	0	0	1	0	0	0	0	1	0	0	622	1605	0	0	0	32	0	1
fsh-generated/resources/Task-exemple-sdo-task.json	5986	15	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	21	51	0	0	0	0	0	0
fsh-generated/resources/ValueSet-type-document-reference-esms-valueset.json	781	17	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	12	5293	0	0	0	1	0	1
