Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sdo.json	11116	-	0	0	0	0	0	0	5	66	0	0	0	0	0	0	0	1	0	0	157	229	0	0	0	5	0	1
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation-elements.json	2535	11	0	0	0	0	9	0	0	14	0	0	0	0	0	0	0	0	0	0	53	36	0	0	0	0	0	0
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation.json	2724	15	0	0	0	0	4	0	1	140	0	0	0	0	0	0	0	0	0	0	52	34	0	0	0	0	0	0
fsh-generated/resources/Bundle-exemple-sdo-bundle-resultat-recherche-notifications-esms.json	12319	15	0	0	0	0	8	0	1	50	0	0	0	0	0	0	0	0	0	0	93	46	0	1	0	0	0	0
fsh-generated/resources/CapabilityStatement-ESMSConsommateur.json	2507	10	0	0	1	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	65	82	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ESMSProducteur.json	1912	8	1	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	58	58	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-gestionnaire-sdo.json	2756	9	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	58	70	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-input-task-sdo-codesystem.json	4297	8	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	1	0	0	48	1614	0	0	0	1	0	1
fsh-generated/resources/Consent-exemple-consent.json	1058	6	0	0	0	0	0	0	1	134	0	0	0	0	0	0	0	0	0	0	28	66	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-esms-document-reference.json	756	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	40	96	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-sdo-document-reference.json	545	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	39	37	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-esms-bundle-resultat-recherche-decision-evaluation.json	1320	2	0	0	0	0	0	110	0	40	0	0	1	0	0	0	0	1	0	0	301	1254	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-esms-consent.json	3343	3	0	0	0	0	0	97	0	32	0	0	0	0	0	0	0	1	0	0	478	1028	0	0	0	16	0	2
fsh-generated/resources/StructureDefinition-esms-document-reference.json	2500	2	1	0	0	0	0	103	0	30	0	0	0	0	0	0	0	1	0	0	434	971	0	0	0	12	0	1
fsh-generated/resources/StructureDefinition-sdo-bundle-resultat-recherche-notification-esms.json	1127	2	0	0	0	0	0	106	0	20	0	0	0	0	0	0	0	0	0	0	223	565	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-sdo-document-reference.json	3204	2	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	1	0	0	407	615	0	0	0	16	0	1
fsh-generated/resources/StructureDefinition-sdo-task.json	18856	5	0	0	0	0	0	72	0	182	0	0	1	0	0	0	0	3	0	0	1268	1473	0	0	0	31	0	1
fsh-generated/resources/Task-exemple-sdo-task.json	6501	3	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	47	51	0	0	0	0	0	0
fsh-generated/resources/ValueSet-type-document-reference-esms-valueset.json	781	3	0	0	0	0	0	0	0	123	0	0	0	0	0	0	0	0	0	0	36	1476	0	0	0	0	0	0
