Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-ans.fhir.fr.sdo.json	11378	-	0	0	0	0	0	0	14	87	0	0	0	0	0	0	0	0	0	0	94	188	0	0	0	4	0	0
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation-elements.json	2535	8	9	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	23	18	0	0	0	0	0	0
fsh-generated/resources/Bundle-exemple-bundle-resultat-recherche-decision-evaluation.json	2724	5	5	0	1	0	0	0	1	1829	0	0	0	0	0	0	0	0	0	0	19	17	0	0	0	0	0	1
fsh-generated/resources/Bundle-exemple-sdo-bundle-resultat-recherche-notifications-esms.json	11061	6	10	0	0	0	0	0	2	49	0	0	0	0	0	0	0	0	0	0	37	31	0	0	0	0	0	0
fsh-generated/resources/CapabilityStatement-ESMSConsommateur.json	2507	5	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	1	0	0	27	62	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-ESMSProducteur.json	1912	3	0	0	0	0	0	0	1	28	0	0	0	0	0	0	0	0	0	0	25	32	0	0	0	1	0	0
fsh-generated/resources/CapabilityStatement-gestionnaire-sdo.json	2756	3	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	28	37	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-input-task-sdo-codesystem.json	4518	3	0	0	0	0	0	0	1	18	0	0	0	0	0	0	0	0	0	0	28	616	0	0	0	1	0	0
fsh-generated/resources/Consent-exemple-consent.json	1058	2	0	0	0	0	0	0	0	155	0	0	0	0	0	0	0	0	0	0	14	21	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-esms-document-reference.json	756	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	13	13	0	0	0	0	0	0
fsh-generated/resources/DocumentReference-exemple-sdo-document-reference.json	545	3	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	12	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-esms-bundle-resultat-recherche-decision-evaluation.json	1320	3	0	92	0	0	0	0	0	52	0	0	0	0	0	0	0	1	0	0	147	552	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-esms-consent.json	3458	8	0	77	0	0	0	0	0	38	0	0	0	0	0	0	0	1	0	0	256	565	0	0	0	11	0	1
fsh-generated/resources/StructureDefinition-esms-document-reference.json	2500	3	0	106	0	0	0	0	1	34	0	0	0	0	0	0	0	0	0	0	177	535	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-sdo-bundle-resultat-recherche-notification-esms.json	1127	3	0	126	0	0	0	0	0	22	0	0	1	0	0	0	0	1	0	0	100	376	0	0	0	6	0	0
fsh-generated/resources/StructureDefinition-sdo-document-reference.json	3204	3	0	1	0	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	174	367	0	0	0	10	0	1
fsh-generated/resources/StructureDefinition-sdo-task.json	18561	5	0	56	0	0	0	0	0	109	0	0	0	0	0	0	0	2	0	0	541	1039	0	0	0	26	1	1
fsh-generated/resources/Task-exemple-sdo-task.json	5986	4	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	19	12	0	0	0	0	0	0
fsh-generated/resources/ValueSet-type-document-reference-esms-valueset.json	781	3	0	0	1	0	0	0	0	2306	0	0	0	0	0	0	0	0	0	0	8	625	0	0	0	1	0	0
